19,2000-04-09 01:31:45.0,1,97.62
21,2000-11-01 19:10:05.0,1,96.46
52,2000-09-04 01:51:32.0,1,95.46
58,2000-03-20 01:57:21.0,1,98.29
83,2000-04-02 23:06:31.0,1,99.73
112,2000-09-04 23:36:34.0,1,93.98
123,2000-01-16 09:45:28.0,1,96.15
135,2000-09-30 04:00:56.0,1,93.92
141,2000-06-25 22:19:44.0,1,94.89
143,2000-02-27 16:01:41.0,1,97.18
150,2000-06-04 19:34:36.0,1,91.91
153,2000-12-18 05:54:34.0,1,98.03
155,2000-06-11 20:40:55.0,1,95.04
160,2000-07-07 14:50:39.0,1,90.74
184,2000-11-02 06:01:16.0,1,92.43
186,2000-06-10 00:43:12.0,1,95.2
195,2000-06-13 17:40:47.0,1,99.76
203,2000-01-01 08:51:09.0,1,93.69
205,2000-12-11 11:30:46.0,1,93.69
215,2000-12-21 10:02:38.0,1,98.12
216,2000-12-25 13:44:39.0,1,98.15
221,2000-05-18 19:56:42.0,1,90.05
223,2000-06-13 14:36:05.0,1,93.27
225,2000-11-05 11:51:02.0,1,97.09
231,2000-04-30 06:43:13.0,1,99.06
243,2000-07-03 14:38:43.0,1,93.3
244,2000-02-24 01:43:31.0,1,94.11
252,2000-03-03 14:57:37.0,1,93.9
255,2000-04-24 09:06:12.0,1,97.35
258,2000-11-30 18:07:39.0,1,98.88
259,2000-03-11 10:19:33.0,1,99.79
274,2000-05-23 14:26:58.0,1,92.49
293,2000-02-03 16:52:19.0,1,94.65
297,2000-06-17 06:49:01.0,1,90.53
303,2000-03-24 13:34:59.0,1,90.58
318,2000-01-02 11:41:56.0,1,97.49
332,2000-07-15 07:28:05.0,1,97.01
341,2000-03-27 05:01:29.0,1,92.2
361,2000-10-21 23:51:12.0,1,90.65
381,2000-11-14 08:13:51.0,1,90.42
387,2000-03-06 21:32:34.0,1,97.57
392,2000-12-28 20:06:14.0,1,95.72
395,2000-02-13 13:48:54.0,1,92.25
415,2000-08-08 06:32:33.0,1,94.14
427,2000-04-03 05:33:16.0,1,90.27
458,2000-10-20 09:16:05.0,1,97.98
463,2000-09-28 17:12:30.0,1,94.11
475,2000-04-08 00:32:04.0,1,95.46
476,2000-12-19 06:07:34.0,1,97.47
477,2000-12-20 06:35:32.0,1,92.83
